[Client] Play Start !! 
[Client] Summon entity {name:player, position(1, 1)}
[Client] Summon entity {name:blue_orb, position(15, 15)}
[Client] Summon entity {name:blue_orb, position(15, 15)}
[Client] Summon entity {name:dark_green_slime, position(10, 10)}
[Client] Summon entity {name:dark_yellow_slime, position(16, 16)}
[Client] Summon entity {name:druid, position(22, 22)}
[Client] Summon entity {name:mage, position(2, 2)}
[Client] summon item {name:stairs position (20, 20)}
[Client] summon item {name:sword_level1 position (18, 19)}
[Client] summon item {name:shield_level1 position (20, 5)}
[Client] summon item {name:portion position (14, 6)}
[Client] summon item {name:portion position (2, 2)}
[Client] summon item {name:portion position (17, 8)}
[Client] summon item {name:portion position (4, 21)}
[Client] summon item {name:portion position (16, 17)}
[Client] summon item {name:portion position (5, 3)}
[Server] send message[Server,0,6,0,0,summon,entity,18,20]
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (15,15) -> (16, 15)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(blue_orb) move {position (16,15) -> (16, 14)}
[Client] Entity(blue_orb) move {position (16,14) -> (16, 13)}
[Client] Entity(blue_orb) move {position (16,13) -> (15, 13)}
[Client] Entity(blue_orb) move {position (15,13) -> (15, 14)}
[Client] Entity(dark_yellow_slime) move {position (18,18) -> (19, 18)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (15,14) -> (14, 14)}
[Client] Entity(blue_orb) move {position (14,14) -> (13, 14)}
[Client] Entity(blue_orb) move {position (13,14) -> (13, 15)}
[Client] Entity(blue_orb) move {position (13,15) -> (14, 15)}
[Client] Entity(blue_orb) move {position (14,15) -> (13, 15)}
[Client] Entity(blue_orb) move {position (13,15) -> (12, 15)}
[Client] Entity(druid) dead.
[Client] Entity(blue_orb) move {position (12,15) -> (12, 16)}
[Client] Entity(blue_orb) move {position (12,16) -> (12, 17)}
[Client] Entity(mage) dead.
[Client] Entity(blue_orb) move {position (12,17) -> (12, 18)}
[Client] Entity(blue_orb) move {position (12,18) -> (12, 17)}
[Client] Entity(blue_orb) move {position (12,17) -> (12, 16)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (12,16) -> (11, 16)}
[Client] Entity(blue_orb) move {position (11,16) -> (12, 16)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(blue_orb) move {position (12,16) -> (12, 15)}
[Client] Entity(blue_orb) move {position (12,15) -> (11, 15)}
[Client] Entity(blue_orb) move {position (11,15) -> (12, 15)}
[Client] Entity(blue_orb) move {position (12,15) -> (13, 15)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (13,15) -> (13, 14)}
[Client] Entity(blue_orb) move {position (13,14) -> (14, 14)}
[Client] Entity(blue_orb) move {position (14,14) -> (15, 14)}
[Client] Entity(blue_orb) move {position (15,14) -> (15, 13)}
[Client] Entity(blue_orb) move {position (15,13) -> (14, 13)}
[Client] Entity(blue_orb) move {position (14,13) -> (14, 12)}
[Client] Entity(blue_orb) move {position (14,12) -> (13, 12)}
[Client] Entity(blue_orb) move {position (13,12) -> (13, 13)}
[Client] Entity(blue_orb) move {position (13,13) -> (12, 13)}
[Client] Entity(blue_orb) move {position (12,13) -> (13, 13)}
[Client] Entity(blue_orb) move {position (13,13) -> (13, 12)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (13,12) -> (12, 12)}
[Client] Entity(blue_orb) move {position (12,12) -> (13, 12)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(blue_orb) move {position (13,12) -> (14, 12)}
[Client] Entity(blue_orb) move {position (14,12) -> (15, 12)}
[Client] Entity(blue_orb) move {position (15,12) -> (15, 11)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (15,11) -> (14, 11)}
[Client] Entity(blue_orb) move {position (14,11) -> (13, 11)}
[Client] Entity(blue_orb) move {position (13,11) -> (14, 11)}
[Client] Entity(blue_orb) move {position (14,11) -> (15, 11)}
[Client] Entity(blue_orb) move {position (15,11) -> (15, 10)}
[Client] Entity(blue_orb) move {position (15,10) -> (15, 9)}
[Client] Entity(blue_orb) move {position (15,9) -> (14, 9)}
[Client] Entity(blue_orb) move {position (14,9) -> (13, 9)}
[Client] Entity(blue_orb) move {position (13,9) -> (12, 9)}
[Client] Entity(blue_orb) move {position (12,9) -> (12, 10)}
[Client] Entity(blue_orb) move {position (12,10) -> (13, 10)}
[Client] Entity(blue_orb) move {position (13,10) -> (14, 10)}
[Client] Entity(blue_orb) move {position (14,10) -> (13, 10)}
[Client] Entity(blue_orb) move {position (13,10) -> (12, 10)}
[Client] Entity(blue_orb) move {position (12,10) -> (12, 11)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (12,11) -> (11, 11)}
[Client] Entity(blue_orb) move {position (11,11) -> (12, 11)}
[Client] Entity(blue_orb) move {position (12,11) -> (12, 10)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (12,10) -> (12, 9)}
[Client] Entity(blue_orb) move {position (12,9) -> (11, 9)}
[Client] Entity(blue_orb) move {position (11,9) -> (11, 10)}
[Client] Entity(blue_orb) move {position (11,10) -> (10, 10)}
[Client] Entity(blue_orb) move {position (10,10) -> (11, 10)}
[Client] Entity(blue_orb) move {position (11,10) -> (11, 9)}
[Client] Entity(blue_orb) move {position (11,9) -> (10, 9)}
[Client] Entity(blue_orb) move {position (10,9) -> (9, 9)}
[Client] Entity(blue_orb) move {position (9,9) -> (9, 10)}
[Client] Entity(blue_orb) move {position (9,10) -> (9, 11)}
[Client] Entity(blue_orb) move {position (9,11) -> (10, 11)}
[Client] Entity(blue_orb) move {position (10,11) -> (9, 11)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(blue_orb) move {position (9,11) -> (8, 11)}
[Client] Entity(blue_orb) move {position (8,11) -> (9, 11)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (9,11) -> (9, 10)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (9,10) -> (9, 9)}
[Client] Entity(blue_orb) move {position (9,9) -> (9, 8)}
[Client] Entity(blue_orb) move {position (9,8) -> (8, 8)}
[Client] Entity(blue_orb) move {position (8,8) -> (7, 8)}
[Client] Entity(blue_orb) move {position (7,8) -> (7, 9)}
[Client] Entity(blue_orb) move {position (7,9) -> (8, 9)}
[Client] Entity(blue_orb) move {position (8,9) -> (8, 10)}
[Client] Entity(blue_orb) move {position (8,10) -> (7, 10)}
[Client] Entity(blue_orb) move {position (7,10) -> (7, 11)}
[Client] Entity(blue_orb) move {position (7,11) -> (7, 12)}
[Client] Entity(blue_orb) move {position (7,12) -> (8, 12)}
[Client] Entity(blue_orb) move {position (8,12) -> (9, 12)}
[Client] Entity(blue_orb) move {position (9,12) -> (10, 12)}
[Client] Entity(blue_orb) move {position (10,12) -> (11, 12)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (11,12) -> (11, 13)}
[Client] Entity(blue_orb) move {position (11,13) -> (11, 14)}
[Client] Entity(blue_orb) move {position (11,14) -> (12, 14)}
[Client] Entity(blue_orb) move {position (12,14) -> (11, 14)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (11,14) -> (11, 13)}
[Client] Entity(blue_orb) move {position (11,13) -> (11, 12)}
[Client] Entity(blue_orb) move {position (11,12) -> (10, 12)}
[Client] Entity(blue_orb) move {position (10,12) -> (9, 12)}
[Client] Entity(blue_orb) move {position (9,12) -> (9, 13)}
[Client] Entity(blue_orb) move {position (9,13) -> (10, 13)}
[Client] Entity(blue_orb) move {position (10,13) -> (10, 14)}
[Client] Entity(blue_orb) move {position (10,14) -> (10, 13)}
[Client] Entity(blue_orb) move {position (10,13) -> (9, 13)}
[Client] Entity(blue_orb) move {position (9,13) -> (9, 14)}
[Client] Entity(blue_orb) move {position (9,14) -> (8, 14)}
[Client] Entity(blue_orb) move {position (8,14) -> (8, 15)}
[Client] Entity(blue_orb) move {position (8,15) -> (9, 15)}
[Client] Entity(blue_orb) move {position (9,15) -> (10, 15)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (10,15) -> (9, 15)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(blue_orb) move {position (9,15) -> (9, 16)}
[Client] Entity(blue_orb) move {position (9,16) -> (10, 16)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (10,16) -> (10, 17)}
[Client] Entity(blue_orb) move {position (10,17) -> (11, 17)}
[Client] Entity(blue_orb) move {position (11,17) -> (10, 17)}
[Client] Entity(blue_orb) move {position (10,17) -> (10, 16)}
[Client] Entity(blue_orb) move {position (10,16) -> (9, 16)}
[Client] Entity(blue_orb) move {position (9,16) -> (9, 15)}
[Client] Entity(blue_orb) move {position (9,15) -> (8, 15)}
[Client] Entity(blue_orb) move {position (8,15) -> (8, 16)}
[Client] Entity(blue_orb) move {position (8,16) -> (8, 17)}
[Client] Entity(blue_orb) move {position (8,17) -> (9, 17)}
[Client] Entity(blue_orb) move {position (9,17) -> (8, 17)}
[Client] Entity(blue_orb) move {position (8,17) -> (7, 17)}
[Client] Entity(blue_orb) move {position (7,17) -> (8, 17)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 18)
[Client] Entity(blue_orb) move {position (8,17) -> (8, 16)}
[Client] Entity(blue_orb) move {position (8,16) -> (7, 16)}
[Client] Entity(blue_orb) move {position (7,16) -> (8, 16)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (8,16) -> (8, 15)}
[Client] Entity(blue_orb) move {position (8,15) -> (8, 14)}
[Client] Entity(blue_orb) move {position (8,14) -> (9, 14)}
[Client] Entity(blue_orb) move {position (9,14) -> (9, 13)}
[Client] Entity(blue_orb) move {position (9,13) -> (9, 12)}
[Client] Entity(blue_orb) move {position (9,12) -> (8, 12)}
[Client] Entity(blue_orb) move {position (8,12) -> (7, 12)}
[Client] Entity(blue_orb) move {position (7,12) -> (6, 12)}
[Client] Entity(blue_orb) move {position (6,12) -> (6, 13)}
[Client] Entity(blue_orb) move {position (6,13) -> (7, 13)}
[Client] Entity(blue_orb) move {position (7,13) -> (8, 13)}
[Client] Entity(blue_orb) move {position (8,13) -> (7, 13)}
[Client] Entity(blue_orb) move {position (7,13) -> (7, 14)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(16, 16)
[Client] Entity(blue_orb) move {position (7,14) -> (7, 13)}
[Client] Entity(dark_yellow_slime) move {position (19,18) -> (19, 19)}
[Client] Entity(blue_orb) move {position (7,13) -> (6, 13)}
[Client] Entity(dark_yellow_slime) attack. {attackPoint:15, position(19, 19)
[Client] Entity(blue_orb) move {position (6,13) -> (6, 12)}
[Client] Entity(dark_green_slime) attack. {attackPoint:10, position(10, 10)
[Client] Entity(blue_orb) move {position (6,12) -> (7, 12)}
[Client] Entity(blue_orb) move {position (7,12) -> (7, 11)}
[Client] Entity(blue_orb) move {position (7,11) -> (7, 10)}
[Client] Entity(blue_orb) move {position (7,10) -> (6, 10)}
[Client] Entity(blue_orb) move {position (6,10) -> (6, 11)}
